expected_value,final_value,price_reduction_percent,number_of_bidders,supplier_previous_wins,buyer_previous_tenders,contract_days,risk_score,risk_label,region_Aktobe,region_Almaty,region_Astana,region_Atyrau,region_Karaganda,region_Kostanay,region_Pavlodar,region_Shymkent,procedure_type_direct_award,procedure_type_limited_tender,procedure_type_negotiation,procedure_type_open_tender
633802.9766761241,488874.6219607314,11.146789173077332,3.751153592225202,10.938717489683096,20.56677437315075,66.79969325952939,0.0688016414723277,0.0,3.87430194914341e-07,0.9999994139535462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009289980027592182,1.00000001
875534.862408563,951207.7246088217,1.752349663372772,2.317954065298319,11.893088048399429,22.939775472525124,88.87078345226396,11.630831362185289,1.603364960491657e-05,0.006420821015670001,0.00030621886559575797,0.0005282461696043611,0.00014510750915676355,0.7997010430197459,0.00033622980454027653,0.6397039954259706,0.0006915330955994129,1.2665987141430377e-05,0.025427252308486997,0.016842961479769943,0.9866734245739179
2661873.1515630884,2054520.6325494666,14.512384228840823,7.744402954676517,10.897645538274224,16.77034950624171,43.45055997543215,1.4682842792807866,0.0,0.002018868943375945,0.0,0.0,0.885451921734463,0.0,0.10127344828789621,0.0,1.0132789713144302e-06,0.0,0.0,0.017500698741443752,1.00000001
790695.9973193932,590752.4046595606,5.506622983885492,2.7173576081490927,12.297828203335357,20.144624714815706,96.6292938634475,5.692922920658387,0.0,0.9999685387472438,1.9669532972574233e-06,4.768371629714966e-07,2.8908253005146977e-06,8.642673578858375e-07,2.771616009771824e-06,5.364418083429337e-07,3.927946129977703e-05,0.0,0.9991051058543932,0.00029930472673267124,0.00031208992316484447
1415557.1318347072,826923.8017962344,12.793138079196885,5.6464815206148815,12.069678789164215,22.51108933042339,78.73809695596339,0.06041422487015992,0.0,0.9623845911897027,2.9802322685718535e-08,0.0,0.0,0.0,0.0,0.37660274286171525,1.4901161342859267e-07,0.0,0.0,0.038477540400949715,1.00000001
271292.3635645787,231026.410109084,0.39747593416290794,4.070336048220881,8.190975401725705,17.761843685323527,117.6698681767366,27.958013120602562,0.0,0.0,0.0,0.0,1.00000001,0.0,0.0,0.0,0.0,0.026902735502334234,4.768371629714966e-07,0.00026682019500523806,0.9869946340078246
159204.9949204638,300547.04042733426,3.4112524282535857,2.8474390235113147,16.61021912888894,19.25999260394355,93.2826989931854,0.19395172598259566,0.0,0.0,0.0,1.00000001,0.0,0.0,0.0,0.0,0.0,0.0,8.94069680571556e-08,0.00013929605623304843,1.00000001
530448.338216016,455688.84065170726,10.991629794973155,7.269268164054059,14.522266216040885,21.186874394706837,40.66998317994997,0.05258157849930435,0.0,0.0,0.0,0.005243510060293376,0.0,0.0,0.9984167318049985,0.0,0.0,0.0,0.0,0.0002779960660123825,1.00000001
2648525.454877231,2298601.590545129,0.6032150747429735,1.183291703724446,12.877574449949318,23.07973862259328,87.28842944303135,46.79001033856592,7.450580671429634e-07,0.9999685387472438,0.0,3.436207805663347e-05,1.4185905598402022e-05,0.0,0.0,0.0,7.301569058001041e-06,0.4589652763010022,0.09098261685754955,0.011148452870273589,0.02572119261713624
1299640.2951463936,949428.4206306878,9.035078576279322,6.418179758182761,10.275027399187609,24.32735825188941,83.11745673793007,0.18868774177863776,1.2516975528001785e-06,0.9994194011494367,6.973743508458137e-06,0.0013882815976688264,1.1056661716401577e-05,0.00016665458845853805,1.3202428949773311e-05,1.4573335793316363e-05,3.466010128349066e-05,0.0,0.0,0.011707335827598869,1.00000001
